# -------------------------------------------------------
# ---- CSV created by:  mightymerge.io                   
# -------------------------------------------------------

,,ATP Prize Money Leaders (US$),,,
,,"Rankings Date:Nov 25, 2024",,,
Money,,,,,
Rank,Player,"YTD ","Singles ",Doubles,Career
"1 ","Sinner, Jannik","$16,946,149 ","$16,914,035 ","$32,114","$33,989,584"
"2 ","Alcaraz, Carlos","$9,850,338 ","$9,850,338 ",$0,"$36,876,485"
"3 ","Zverev, Alexander","$8,995,103 ","$8,839,406 ","$155,697","$47,543,924"
"4 ","Fritz, Taylor","$7,006,195 ","$6,915,586 ","$90,609","$21,087,553"
"5 ","Medvedev, Daniil","$5,615,756 ","$5,573,010 ","$42,746","$43,764,163"
"6 ","Ruud, Casper","$5,065,307 ","$5,010,351 ","$54,956","$21,591,822"
"7 ","Djokovic, Novak","$4,421,915 ","$4,421,915 ",$0,"$185,065,269"
"8 ","Rublev, Andrey","$4,130,816 ","$4,067,753 ","$63,063","$25,686,167"
"9 ","de Minaur, Alex","$4,080,046 ","$4,041,718 ","$38,328","$15,303,985"
"10 ","Tsitsipas, Stefanos","$3,528,424 ","$3,392,603 ","$135,821","$32,149,165"
"11 ","Dimitrov, Grigor","$3,186,056 ","$3,169,105 ","$16,951","$28,321,326"
"12 ","Paul, Tommy","$2,940,923 ","$2,912,091 ","$28,832","$9,581,908"
"13 ","Thompson, Jordan","$2,893,246 ","$1,683,840 ","$1,209,406","$8,001,701"
"14 ","Humbert, Ugo","$2,817,088 ","$2,767,446 ","$49,642","$7,878,075"
"15 ","Draper, Jack","$2,745,025 ","$2,707,707 ","$37,318","$4,567,996"
"16 ","Hurkacz, Hubert","$2,729,808 ","$2,701,708 ","$28,100","$16,363,930"
"17 ","Tiafoe, Frances","$2,729,135 ","$2,699,718 ","$29,417","$12,937,941"
"18 ","Musetti, Lorenzo","$2,715,979 ","$2,646,694 ","$69,285","$7,625,733"
"19 ","Rune, Holger","$2,707,145 ","$2,673,232 ","$33,913","$10,660,499"
"20 ","Khachanov, Karen","$2,519,587 ","$2,413,465 ","$106,122","$17,730,963"
"21 ","Shelton, Ben","$2,403,182 ","$2,222,233 ","$180,949","$5,199,849"
"22 ","Popyrin, Alexei","$2,336,806 ","$2,301,802 ","$35,004","$6,292,837"
"23 ","Fils, Arthur","$2,259,048 ","$2,174,206 ","$84,842","$3,605,603"
"24 ","Korda, Sebastian","$2,185,286 ","$1,902,107 ","$283,179","$6,589,213"
